x_m,y_m,elevation_m,x_ft,y_ft,elevation_ft,acquisition_date_start,acquisition_date_end,acquisition_date_mid,decimal_year,survey_title,inport_id,source_file
191760.8839,560111.5062,4.9501,629135.5,1837632.5,16.2405,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191763.6271,560111.5062,4.7264,629144.5,1837632.5,15.5067,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191766.3703,560111.5062,4.4018,629153.5,1837632.5,14.4414,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191769.1135,560111.5062,4.0557,629162.5,1837632.5,13.306,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191771.8567,560111.5062,3.8289,629171.5,1837632.5,12.562,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191774.5999,560111.5062,3.5589,629180.5,1837632.5,11.6763,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191777.3432,560111.5062,3.2451,629189.5,1837632.5,10.6465,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191780.0864,560111.5062,2.9384,629198.5,1837632.5,9.6405,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191782.8296,560111.5062,2.5982,629207.5,1837632.5,8.5243,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191785.5728,560111.5062,2.4232,629216.5,1837632.5,7.95,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191788.316,560111.5062,2.1567,629225.5,1837632.5,7.0757,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191791.0592,560111.5062,1.8683,629234.5,1837632.5,6.1295,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191793.8024,560111.5062,1.7145,629243.5,1837632.5,5.625,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191796.5456,560111.5062,1.4944,629252.5,1837632.5,4.9029,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191763.6271,560108.763,4.8684,629144.5,1837623.5,15.9725,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191766.3703,560108.763,4.4199,629153.5,1837623.5,14.5011,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191769.1135,560108.763,4.0708,629162.5,1837623.5,13.3556,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191771.8567,560108.763,3.8574,629171.5,1837623.5,12.6556,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191774.5999,560108.763,3.635,629180.5,1837623.5,11.9257,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191777.3432,560108.763,3.3299,629189.5,1837623.5,10.9247,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191780.0864,560108.763,3.0278,629198.5,1837623.5,9.9337,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191782.8296,560108.763,2.7275,629207.5,1837623.5,8.9486,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191785.5728,560108.763,2.5217,629216.5,1837623.5,8.2733,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191788.316,560108.763,2.2242,629225.5,1837623.5,7.2971,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191791.0592,560108.763,2.0004,629234.5,1837623.5,6.563,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
191793.8024,560108.763,1.7221,629243.5,1837623.5,5.65,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1316976tR0_C0_clipped.tif
