x_m,y_m,elevation_m,x_ft,y_ft,elevation_ft,acquisition_date_start,acquisition_date_end,acquisition_date_mid,decimal_year,survey_title,inport_id,source_file
191760.8839,560111.5062,4.8765,629135.5,1837632.5,15.9991,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191763.6271,560111.5062,4.5744,629144.5,1837632.5,15.0078,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191766.3703,560111.5062,4.2719,629153.5,1837632.5,14.0155,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191769.1135,560111.5062,4.0087,629162.5,1837632.5,13.1518,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191771.8567,560111.5062,3.8302,629171.5,1837632.5,12.5662,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191774.5999,560111.5062,3.5296,629180.5,1837632.5,11.58,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191777.3432,560111.5062,3.0286,629189.5,1837632.5,9.9364,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191780.0864,560111.5062,2.6575,629198.5,1837632.5,8.7187,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191782.8296,560111.5062,2.2426,629207.5,1837632.5,7.3575,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191785.5728,560111.5062,1.908,629216.5,1837632.5,6.2597,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191788.316,560111.5062,1.749,629225.5,1837632.5,5.7381,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191791.0592,560111.5062,1.5229,629234.5,1837632.5,4.9965,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191793.8024,560111.5062,1.3159,629243.5,1837632.5,4.3173,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191796.5456,560111.5062,1.1765,629252.5,1837632.5,3.86,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191763.6271,560108.763,4.6741,629144.5,1837623.5,15.3349,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191766.3703,560108.763,4.3266,629153.5,1837623.5,14.195,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191769.1135,560108.763,4.0326,629162.5,1837623.5,13.2302,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191771.8567,560108.763,3.8101,629171.5,1837623.5,12.5002,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191774.5999,560108.763,3.602,629180.5,1837623.5,11.8177,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191777.3432,560108.763,3.177,629189.5,1837623.5,10.4232,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191780.0864,560108.763,2.7717,629198.5,1837623.5,9.0936,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191782.8296,560108.763,2.3985,629207.5,1837623.5,7.8692,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191785.5728,560108.763,1.9733,629216.5,1837623.5,6.474,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191788.316,560108.763,1.8007,629225.5,1837623.5,5.908,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191791.0592,560108.763,1.6018,629234.5,1837623.5,5.2552,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191793.8024,560108.763,1.3748,629243.5,1837623.5,4.5104,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191796.5456,560108.763,1.2083,629252.5,1837623.5,3.9641,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191799.2888,560108.763,1.1361,629261.5,1837623.5,3.7274,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191763.6271,560106.0198,4.7406,629144.5,1837614.5,15.553,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191766.3703,560106.0198,4.3412,629153.5,1837614.5,14.2427,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191769.1135,560106.0198,4.06,629162.5,1837614.5,13.3203,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191771.8567,560106.0198,3.8436,629171.5,1837614.5,12.6101,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191774.5999,560106.0198,3.6817,629180.5,1837614.5,12.0791,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191777.3432,560106.0198,3.3187,629189.5,1837614.5,10.8881,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191780.0864,560106.0198,2.8787,629198.5,1837614.5,9.4446,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191782.8296,560106.0198,2.5652,629207.5,1837614.5,8.4159,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191785.5728,560106.0198,2.1173,629216.5,1837614.5,6.9466,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191788.316,560106.0198,1.8423,629225.5,1837614.5,6.0443,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191791.0592,560106.0198,1.6671,629234.5,1837614.5,5.4694,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191793.8024,560106.0198,1.4241,629243.5,1837614.5,4.6722,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
191796.5456,560106.0198,1.2454,629252.5,1837614.5,4.0861,2004-04-01,2004-09-25,2004-06-28,2004.489071,"2004 US Army Corps of Engineers (USACE) Topo/Bathy Lidar: Alabama, Florida, Mississippi and North Carolina",50049,2004_PreIvan_J1316975tR0_C0_clipped.tif
