x_m,y_m,elevation_m,x_ft,y_ft,elevation_ft,acquisition_date_start,acquisition_date_end,acquisition_date_mid,decimal_year,survey_title,inport_id,source_file
193970.9931,554756.7691,4.3931,636386.5,1820064.5,14.4129,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193973.7363,554756.7691,4.4781,636395.5,1820064.5,14.6918,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193976.4796,554756.7691,4.3765,636404.5,1820064.5,14.3586,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193979.2228,554756.7691,4.1679,636413.5,1820064.5,13.6742,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193981.966,554756.7691,4.0086,636422.5,1820064.5,13.1515,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193984.7092,554756.7691,3.8074,636431.5,1820064.5,12.4915,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193987.4524,554756.7691,3.6112,636440.5,1820064.5,11.8476,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193990.1956,554756.7691,3.4392,636449.5,1820064.5,11.2835,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193992.9388,554756.7691,3.1372,636458.5,1820064.5,10.2927,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193995.682,554756.7691,2.8091,636467.5,1820064.5,9.2161,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193998.4252,554756.7691,2.4464,636476.5,1820064.5,8.0261,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194001.1684,554756.7691,2.1695,636485.5,1820064.5,7.1178,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194003.9116,554756.7691,1.8002,636494.5,1820064.5,5.9062,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194006.6548,554756.7691,1.6208,636503.5,1820064.5,5.3175,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193973.7363,554754.0259,4.4706,636395.5,1820055.5,14.6674,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193976.4796,554754.0259,4.4301,636404.5,1820055.5,14.5345,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193979.2228,554754.0259,4.2959,636413.5,1820055.5,14.094,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193981.966,554754.0259,4.1302,636422.5,1820055.5,13.5505,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193984.7092,554754.0259,3.9103,636431.5,1820055.5,12.8291,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193987.4524,554754.0259,3.6683,636440.5,1820055.5,12.035,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193990.1956,554754.0259,3.5577,636449.5,1820055.5,11.6724,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193992.9388,554754.0259,3.3456,636458.5,1820055.5,10.9763,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193995.682,554754.0259,2.9405,636467.5,1820055.5,9.6473,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193998.4252,554754.0259,2.7156,636476.5,1820055.5,8.9094,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194001.1684,554754.0259,2.3086,636485.5,1820055.5,7.5743,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194003.9116,554754.0259,1.9654,636494.5,1820055.5,6.448,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194006.6548,554754.0259,1.7387,636503.5,1820055.5,5.7044,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194009.398,554754.0259,1.5018,636512.5,1820055.5,4.927,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193973.7363,554751.2827,4.4934,636395.5,1820046.5,14.742,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193976.4796,554751.2827,4.4353,636404.5,1820046.5,14.5514,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193979.2228,554751.2827,4.3501,636413.5,1820046.5,14.2721,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193981.966,554751.2827,4.231,636422.5,1820046.5,13.8811,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193984.7092,554751.2827,3.999,636431.5,1820046.5,13.12,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193987.4524,554751.2827,3.7778,636440.5,1820046.5,12.3942,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193990.1956,554751.2827,3.6746,636449.5,1820046.5,12.0558,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193992.9388,554751.2827,3.4334,636458.5,1820046.5,11.2643,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193995.682,554751.2827,3.164,636467.5,1820046.5,10.3805,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
193998.4252,554751.2827,2.8459,636476.5,1820046.5,9.337,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194001.1684,554751.2827,2.5291,636485.5,1820046.5,8.2975,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194003.9116,554751.2827,2.2353,636494.5,1820046.5,7.3337,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
194006.6548,554751.2827,1.8291,636503.5,1820046.5,6.001,1999-10-06,1999-11-04,1999-10-20,1999.8,Fall 1999 East Coast NOAA/USGS/NASA  Airborne LiDAR Assessment of Coastal Erosion (ALACE) Project for the US Coastline,48158,1999_FallEC_J1317018tR0_C0_clipped.tif
