x_m,y_m,elevation_m,x_ft,y_ft,elevation_ft,acquisition_date_start,acquisition_date_end,acquisition_date_mid,decimal_year,survey_title,inport_id,source_file
193970.9931,554756.7691,4.2072,636386.5,1820064.5,13.8032,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193973.7363,554756.7691,4.2678,636395.5,1820064.5,14.002,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193976.4796,554756.7691,4.2059,636404.5,1820064.5,13.7987,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193979.2228,554756.7691,4.0974,636413.5,1820064.5,13.443,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193981.966,554756.7691,3.8258,636422.5,1820064.5,12.5518,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193984.7092,554756.7691,3.0031,636431.5,1820064.5,9.8528,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193987.4524,554756.7691,2.1205,636440.5,1820064.5,6.957,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193990.1956,554756.7691,1.6648,636449.5,1820064.5,5.4621,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193992.9388,554756.7691,1.3976,636458.5,1820064.5,4.5853,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193995.682,554756.7691,1.2086,636467.5,1820064.5,3.9653,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193998.4252,554756.7691,1.059,636476.5,1820064.5,3.4745,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194001.1684,554756.7691,0.88,636485.5,1820064.5,2.887,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194003.9116,554756.7691,0.6669,636494.5,1820064.5,2.1881,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194006.6548,554756.7691,0.5247,636503.5,1820064.5,1.7215,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193973.7363,554754.0259,4.2685,636395.5,1820055.5,14.0044,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193976.4796,554754.0259,4.2124,636404.5,1820055.5,13.8203,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193979.2228,554754.0259,4.1337,636413.5,1820055.5,13.562,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193981.966,554754.0259,3.9369,636422.5,1820055.5,12.9165,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193984.7092,554754.0259,3.3835,636431.5,1820055.5,11.1008,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193987.4524,554754.0259,2.4841,636440.5,1820055.5,8.1498,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193990.1956,554754.0259,1.8179,636449.5,1820055.5,5.9641,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193992.9388,554754.0259,1.5067,636458.5,1820055.5,4.9432,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193995.682,554754.0259,1.2486,636467.5,1820055.5,4.0963,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193998.4252,554754.0259,1.111,636476.5,1820055.5,3.6449,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194001.1684,554754.0259,0.9667,636485.5,1820055.5,3.1715,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194003.9116,554754.0259,0.7447,636494.5,1820055.5,2.4432,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194006.6548,554754.0259,0.5793,636503.5,1820055.5,1.9005,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
194009.398,554754.0259,0.4515,636512.5,1820055.5,1.4814,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193973.7363,554751.2827,4.2632,636395.5,1820046.5,13.9868,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193976.4796,554751.2827,4.2478,636404.5,1820046.5,13.9364,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193979.2228,554751.2827,4.0993,636413.5,1820046.5,13.4492,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
193981.966,554751.2827,4.0159,636422.5,1820046.5,13.1754,2004-11-01,2004-12-31,2004-12-01,2004.915301,"2004 US Army Corps of Engineers (USACE) Post-Hurricane Ivan Topo/Bathy Lidar: Alabama, Florida",50050,2004_PostIvan_J1317016tR0_C0_clipped.tif
