x_m,y_m,elevation_m,x_ft,y_ft,elevation_ft,acquisition_date_start,acquisition_date_end,acquisition_date_mid,decimal_year,survey_title,inport_id,source_file
193970.5359,554758.1407,4.1714,636385.0,1820069.0,13.6857,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193972.3647,554758.1407,4.2218,636391.0,1820069.0,13.851,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193974.1935,554758.1407,4.2844,636397.0,1820069.0,14.0565,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193976.0224,554758.1407,4.3037,636403.0,1820069.0,14.1198,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193977.8512,554758.1407,4.2657,636409.0,1820069.0,13.995,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193979.68,554758.1407,4.157,636415.0,1820069.0,13.6385,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193981.5088,554758.1407,3.8141,636421.0,1820069.0,12.5133,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193983.3376,554758.1407,3.3607,636427.0,1820069.0,11.0259,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193985.1664,554758.1407,3.0274,636433.0,1820069.0,9.9323,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193986.9952,554758.1407,2.542,636439.0,1820069.0,8.3398,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193988.824,554758.1407,2.3039,636445.0,1820069.0,7.5588,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193990.6528,554758.1407,2.1476,636451.0,1820069.0,7.046,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193992.4816,554758.1407,1.9618,636457.0,1820069.0,6.4363,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193994.3104,554758.1407,1.8024,636463.0,1820069.0,5.9133,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193996.1392,554758.1407,1.7541,636469.0,1820069.0,5.755,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
193997.968,554758.1407,1.7714,636475.0,1820069.0,5.8118,2005-12-11,2006-02-05,2006-01-08,2006.019178,"2006 US Army Corps of Engineers (USACE) East Coast Topo/Bathy Mapping Project for Florida, Georgia and South Carolina",50057,2006_Topobathy_J1317015tR0_C0_clipped.tif
