source_file,job_name,point_id,datetime_local,datetime_utc,latitude_dd,longitude_dd,ellipsoidal_elev_m,northing_m,easting_m,elevation_m,nor_min,nor_max,nor_avg,nor_sd,eas_min,eas_max,eas_avg,eas_sd,elv_min,elv_max,elv_avg,elv_sd,nrms_avg,nrms_sd,nrms_min,nrms_max,erms_avg,erms_sd,erms_min,erms_max,hrms_avg,hrms_sd,hrms_min,hrms_max,vrms_avg,vrms_sd,vrms_min,vrms_max,hdop_avg,hdop_min,hdop_max,vdop_avg,vdop_min,vdop_max,pdop_avg,pdop_min,pdop_max,age_avg,age_min,age_max,sats_avg,sats_min,sats_max,fix_hrms,fix_vrms,fix_status,fix_sats,fix_age,fix_pdop,fix_hdop,fix_vdop,fix_tdop,fix_gdop,fix_nrms,fix_erms,valid_readings_xy,valid_readings_z,g1_base_point,g1_dx,g1_dy,g1_dz,g2_vx,g2_vy,g2_vz,g3_xy,g3_xz,g3_yz,base_lat,base_lon,base_elev,rover_hr_m,projection,equipment,geoid_file,rtk_method
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,154,2026-02-22 15:49:52,2026-02-22 20:49:58,29.230305708402,-81.045749038972,-24.374615,559612.7614,191978.4421,2.1543,559612.7483,559612.7706,559612.7614,0.0074,191978.4347,191978.455,191978.4421,0.0077,2.1522,2.1563,2.1543,0.0016,0.0082,0.0004,0.008,0.009,0.009,0.0,0.009,0.009,0.0122,0.0001,0.0121,0.0124,0.0213,0.0002,0.0211,0.0216,0.63,0.63,0.6301,1.0964,1.096,1.097,1.2646,1.2642,1.265,0.1667,0.0,1.0,17,17,17,0.012,0.022,FIXED,17,1.0,1.265,0.63,1.097,0.748,1.47,0.008,0.009,6,6,0000_BASE_1,1795.4376,5014.31699,8306.2086,7.98e-05,0.00037272,0.00015172,-2.744e-05,1.935e-05,-0.00015643,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,155,2026-02-22 15:51:53,2026-02-22 20:51:49,29.230337059291,-81.04578686109,-23.7226,559622.4208,191968.2506,2.8064,559622.4173,559622.4243,559622.4208,0.0027,191968.2454,191968.2556,191968.2506,0.0049,2.803,2.8115,2.8064,0.0029,0.009,0.0,0.009,0.009,0.0098,0.0004,0.009,0.01,0.0134,0.0001,0.0132,0.0135,0.0231,0.0002,0.0228,0.0234,0.6291,0.6291,0.6291,1.1151,1.1147,1.1155,1.2803,1.28,1.2807,0.1667,0.0,1.0,17,17,17,0.014,0.023,FIXED,17,0.0,1.281,0.629,1.116,0.758,1.488,0.009,0.01,6,6,0000_BASE_1,1784.71583,5016.8538,8314.93943,9.806e-05,0.00044431,0.00017233,-5.173e-05,3.608e-05,-0.00017329,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,156,2026-02-22 15:54:11,2026-02-22 20:54:26,29.230370093227,-81.045785708765,-24.211722,559632.591,191968.5685,2.3174,559632.5885,559632.5952,559632.591,0.0022,191968.5598,191968.5751,191968.5685,0.0059,2.3122,2.3222,2.3174,0.0036,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0137,0.0001,0.0136,0.0138,0.0242,0.0001,0.024,0.0244,0.6279,0.6279,0.6279,1.1405,1.1401,1.141,1.3019,1.3015,1.3024,0.1667,0.0,1.0,17,17,17,0.014,0.024,FIXED,17,1.0,1.302,0.628,1.141,0.771,1.514,0.01,0.01,6,6,0000_BASE_1,1784.57085,5022.56516,8323.88528,0.00010995,0.00050762,0.00019439,-6.185e-05,4.22e-05,-0.00019899,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,157,2026-02-22 15:55:12,2026-02-22 20:55:28,29.23040253331,-81.045787021173,-24.431963,559642.5788,191968.2217,2.0973,559642.5736,559642.582,559642.5788,0.0028,191968.2086,191968.2314,191968.2217,0.0074,2.0925,2.1017,2.0973,0.0036,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0136,0.0002,0.0133,0.0138,0.0242,0.0004,0.0237,0.0245,0.6274,0.6274,0.6275,1.1503,1.15,1.1507,1.3103,1.31,1.3107,0.1667,0.0,1.0,17,17,17,0.013,0.024,FIXED,17,1.0,1.311,0.627,1.151,0.776,1.523,0.01,0.01,6,6,0000_BASE_1,1783.04414,5027.22954,8332.1569,0.00010336,0.000485,0.00018365,-6.131e-05,4.111e-05,-0.00019059,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,158,2026-02-22 15:56:49,2026-02-22 20:57:05,29.230435629431,-81.045824329301,-23.820221,559652.7755,191958.1691,2.7091,559652.7615,559652.7969,559652.7755,0.0145,191958.1614,191958.1797,191958.1691,0.0063,2.7044,2.7132,2.7091,0.003,0.007,0.0,0.007,0.007,0.007,0.0,0.007,0.007,0.0099,0.0001,0.0098,0.01,0.0177,0.0002,0.0176,0.018,0.6268,0.6268,0.6268,1.165,1.1646,1.1655,1.3229,1.3226,1.3233,0.0,0.0,0.0,17,17,17,0.01,0.018,FIXED,17,0.0,1.323,0.627,1.165,0.784,1.538,0.007,0.007,6,6,0000_BASE_1,1772.41301,5030.08304,8341.33615,5.438e-05,0.00025939,9.69e-05,-3.401e-05,2.24e-05,-0.000102,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,159,2026-02-22 15:57:47,2026-02-22 20:58:03,29.230468084586,-81.045823328067,-24.238539,559662.7675,191958.4462,2.2909,559662.7584,559662.7733,559662.7675,0.005,191958.4366,191958.4536,191958.4462,0.0055,2.2888,2.2937,2.2909,0.0019,0.0098,0.0004,0.009,0.01,0.01,0.0,0.01,0.01,0.0137,0.0001,0.0135,0.0138,0.0247,0.0002,0.0244,0.0249,0.6264,0.6264,0.6264,1.1737,1.1733,1.174,1.3304,1.3301,1.3307,0.1667,0.0,1.0,17,17,17,0.014,0.025,FIXED,17,0.0,1.331,0.626,1.174,0.788,1.546,0.01,0.01,6,6,0000_BASE_1,1771.86322,5035.32885,8349.83803,0.00010512,0.00050567,0.00018754,-6.748e-05,4.403e-05,-0.00019907,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,160,2026-02-22 15:59:04,2026-02-22 20:59:20,29.230499050965,-81.045860656284,-23.664294,559672.3085,191948.3878,2.8652,559672.2959,559672.3243,559672.3085,0.0104,191948.3674,191948.3974,191948.3878,0.0098,2.8633,2.869,2.8652,0.0019,0.008,0.0,0.008,0.008,0.0088,0.0004,0.008,0.009,0.0118,0.0001,0.0116,0.012,0.0223,0.0002,0.0219,0.0226,0.6607,0.6607,0.6607,1.3814,1.3806,1.3823,1.5313,1.5305,1.5321,0.3333,0.0,1.0,16,16,16,0.012,0.023,FIXED,16,0.0,1.532,0.661,1.382,0.973,1.815,0.008,0.009,6,6,0000_BASE_1,1761.27157,5037.89598,8358.4275,8.767e-05,0.0004005,0.0001481,-7.13e-05,4.565e-05,-0.00016635,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,161,2026-02-22 16:00:09,2026-02-22 21:00:24,29.230533468998,-81.045860661629,-24.093172,559682.905,191948.3939,2.4364,559682.9002,559682.9097,559682.905,0.0029,191948.3913,191948.399,191948.3939,0.0027,2.4331,2.4398,2.4364,0.0023,0.008,0.0,0.008,0.008,0.0082,0.0004,0.008,0.009,0.0116,0.0001,0.0114,0.0117,0.0221,0.0002,0.0218,0.0224,0.6982,0.6982,0.6982,1.4235,1.4227,1.4242,1.5855,1.5848,1.5861,0.0,0.0,0.0,16,16,16,0.012,0.022,FIXED,16,0.0,1.586,0.698,1.424,0.999,1.874,0.008,0.008,6,6,0000_BASE_1,1760.40625,5043.40179,8367.45078,8.224e-05,0.00039935,0.00013829,-6.023e-05,4.092e-05,-0.00016136,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,162,2026-02-22 16:01:02,2026-02-22 21:01:18,29.230565402931,-81.045860391354,-24.371876,559692.7366,191948.4737,2.1578,559692.7287,559692.7479,559692.7366,0.0074,191948.4617,191948.4917,191948.4737,0.0109,2.1568,2.1594,2.1578,0.0009,0.009,0.0,0.009,0.009,0.009,0.0,0.009,0.009,0.0127,0.0001,0.0125,0.0129,0.0244,0.0002,0.0241,0.0247,0.6617,0.6617,0.6618,1.4155,1.4146,1.4164,1.5625,1.5618,1.5633,0.0,0.0,0.0,16,16,16,0.013,0.025,FIXED,16,0.0,1.563,0.662,1.416,0.995,1.853,0.009,0.009,6,6,0000_BASE_1,1759.6928,5048.41912,8375.8813,0.00010301,0.00048003,0.00017508,-8.759e-05,5.532e-05,-0.00019984,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_02-22-2026(TDS).rw5,22 FEB 3;30 BASS,163,2026-02-22 16:02:11,2026-02-22 21:02:27,29.230597877198,-81.045896434127,-23.885071,559702.7416,191938.7623,2.6447,559702.7309,559702.7475,559702.7416,0.0052,191938.76,191938.7654,191938.7623,0.0022,2.6399,2.6506,2.6447,0.0033,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.0142,0.0001,0.014,0.0144,0.0275,0.0003,0.0271,0.0278,0.6624,0.6624,0.6625,1.4351,1.4343,1.436,1.5806,1.5799,1.5815,0.0,0.0,0.0,16,16,16,0.014,0.027,FIXED,16,0.0,1.581,0.662,1.436,1.007,1.875,0.01,0.01,6,6,0000_BASE_1,1749.39648,5051.34036,8384.83239,0.00012925,0.00060929,0.00022046,-0.0001127,7.061e-05,-0.00025396,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
