source_file,job_name,point_id,datetime_local,datetime_utc,latitude_dd,longitude_dd,ellipsoidal_elev_m,northing_m,easting_m,elevation_m,nor_min,nor_max,nor_avg,nor_sd,eas_min,eas_max,eas_avg,eas_sd,elv_min,elv_max,elv_avg,elv_sd,nrms_avg,nrms_sd,nrms_min,nrms_max,erms_avg,erms_sd,erms_min,erms_max,hrms_avg,hrms_sd,hrms_min,hrms_max,vrms_avg,vrms_sd,vrms_min,vrms_max,hdop_avg,hdop_min,hdop_max,vdop_avg,vdop_min,vdop_max,pdop_avg,pdop_min,pdop_max,age_avg,age_min,age_max,sats_avg,sats_min,sats_max,fix_hrms,fix_vrms,fix_status,fix_sats,fix_age,fix_pdop,fix_hdop,fix_vdop,fix_tdop,fix_gdop,fix_nrms,fix_erms,valid_readings_xy,valid_readings_z,g1_base_point,g1_dx,g1_dy,g1_dz,g2_vx,g2_vy,g2_vz,g3_xy,g3_xz,g3_yz,base_lat,base_lon,base_elev,rover_hr_m,projection,equipment,geoid_file,rtk_method
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,154,2025-12-12 07:38:11,2025-12-12 12:38:14,29.230305463578,-81.04574906601,-24.304635,559612.686,191978.4348,2.2243,559612.6793,559612.6901,559612.686,0.0036,191978.4277,191978.438,191978.4348,0.0036,2.2225,2.2272,2.2243,0.0016,0.0063,0.0005,0.006,0.007,0.0057,0.0005,0.005,0.006,0.0086,0.0002,0.0083,0.0089,0.0125,0.0003,0.0121,0.0131,0.6259,0.6259,0.626,1.0099,1.0097,1.0102,1.1882,1.188,1.1884,1.0,1.0,1.0,24,24,24,0.009,0.012,FIXED,24,1.0,1.188,0.626,1.01,0.686,1.372,0.006,0.006,6,6,0000_BASE_1,1795.44558,5014.21908,8306.17726,3.106e-05,0.00012606,7.354e-05,-7.32e-06,1.83e-06,-5.183e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,155,2025-12-12 07:40:22,2025-12-12 12:40:30,29.2303376133,-81.045786396582,-23.680543,559622.5913,191968.3759,2.8485,559622.5859,559622.5951,559622.5913,0.0035,191968.3701,191968.3829,191968.3759,0.0041,2.845,2.8515,2.8485,0.0023,0.0073,0.0005,0.007,0.008,0.0063,0.0005,0.006,0.007,0.0098,0.0002,0.0096,0.01,0.0142,0.0003,0.0138,0.0146,0.6263,0.6263,0.6263,1.0004,1.0002,1.0006,1.1803,1.1801,1.1804,1.0,1.0,1.0,24,24,24,0.01,0.014,FIXED,24,1.0,1.18,0.626,1.0,0.682,1.363,0.008,0.007,6,6,0000_BASE_1,1784.83228,5016.9197,8315.10869,4.08e-05,0.00016133,9.453e-05,-9.41e-06,2.17e-06,-6.61e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,156,2025-12-12 07:42:19,2025-12-12 12:42:24,29.230337368782,-81.045749490894,-24.489529,559622.509,191978.3272,2.0395,559622.5041,559622.5138,559622.509,0.0031,191978.3221,191978.3318,191978.3272,0.0036,2.0377,2.0412,2.0395,0.0011,0.0072,0.0004,0.007,0.008,0.0062,0.0004,0.006,0.007,0.0096,0.0001,0.0095,0.0099,0.014,0.0002,0.0138,0.0145,0.6265,0.6265,0.6265,0.9919,0.9917,0.9921,1.1732,1.173,1.1733,1.0,1.0,1.0,24,24,24,0.01,0.014,FIXED,24,1.0,1.173,0.627,0.992,0.678,1.355,0.007,0.006,6,6,0000_BASE_1,1794.56028,5019.12221,8314.64615,4.016e-05,0.00015669,9.143e-05,-9.34e-06,2.09e-06,-6.377e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,157,2025-12-12 07:43:04,2025-12-12 12:43:15,29.230337752175,-81.045711628781,-24.075873,559622.6198,191988.5364,2.4533,559622.6184,559622.622,559622.6198,0.0013,191988.5343,191988.5397,191988.5364,0.0021,2.4469,2.4571,2.4533,0.0035,0.0083,0.0005,0.008,0.009,0.007,0.0,0.007,0.007,0.011,0.0002,0.0107,0.0113,0.0159,0.0003,0.0155,0.0164,0.6266,0.6266,0.6267,0.9879,0.9877,0.9881,1.1699,1.1697,1.17,1.1667,1.0,2.0,24,24,24,0.011,0.016,FIXED,24,1.0,1.17,0.627,0.988,0.676,1.351,0.008,0.007,6,6,0000_BASE_1,1804.69349,5020.40597,8314.95198,5.116e-05,0.00020037,0.00012377,-1.229e-05,3.36e-06,-8.491e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,158,2025-12-12 07:43:42,2025-12-12 12:43:57,29.230338013175,-81.045675572964,-25.221176,559622.6933,191998.2586,1.308,559622.6899,559622.698,559622.6933,0.003,191998.2518,191998.2658,191998.2586,0.0048,1.3046,1.311,1.308,0.0025,0.008,0.0,0.008,0.008,0.007,0.0,0.007,0.007,0.0106,0.0001,0.0106,0.0107,0.0154,0.0001,0.0153,0.0156,0.6267,0.6267,0.6267,0.9845,0.9843,0.9847,1.1671,1.1669,1.1672,1.0,1.0,1.0,24,24,24,0.011,0.016,FIXED,24,1.0,1.167,0.627,0.984,0.674,1.348,0.008,0.007,6,6,0000_BASE_1,1814.13781,5022.93795,8314.46004,4.905e-05,0.00019032,0.00011013,-1.165e-05,2.6e-06,-7.686e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,159,2025-12-12 07:44:25,2025-12-12 12:44:39,29.230337579462,-81.045638144252,-26.540683,559622.5527,192008.3508,-0.0115,559622.5487,559622.5578,559622.5527,0.0032,192008.3477,192008.3583,192008.3508,0.0035,-0.0137,-0.0094,-0.0115,0.0014,0.01,0.0,0.01,0.01,0.009,0.0,0.009,0.009,0.0133,0.0001,0.0131,0.0134,0.0192,0.0002,0.0188,0.0194,0.6268,0.6268,0.6268,0.9811,0.9809,0.9814,1.1643,1.1641,1.1645,1.0,1.0,1.0,24,24,24,0.013,0.019,FIXED,24,1.0,1.164,0.627,0.981,0.673,1.344,0.01,0.009,6,6,0000_BASE_1,1823.94059,5025.57361,8313.69625,7.731e-05,0.00029573,0.0001722,-1.798e-05,3.85e-06,-0.00011961,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,160,2025-12-12 07:45:29,2025-12-12 12:45:44,29.230370050724,-81.045786617304,-24.119014,559632.5781,191968.3235,2.4101,559632.5736,559632.5805,559632.5781,0.0022,191968.3149,191968.3376,191968.3235,0.007,2.4082,2.4138,2.4101,0.0019,0.0088,0.0004,0.008,0.009,0.008,0.0,0.008,0.008,0.0115,0.0001,0.0113,0.0116,0.0163,0.0002,0.0161,0.0166,0.5958,0.5958,0.5958,0.9249,0.9247,0.9251,1.1002,1.1001,1.1004,1.0,1.0,1.0,25,25,25,0.011,0.016,FIXED,25,1.0,1.1,0.596,0.925,0.601,1.254,0.008,0.008,6,6,0000_BASE_1,1783.95466,5022.12909,8323.59595,5.59e-05,0.00021173,0.00013077,-7e-06,2.48e-06,-8.984e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,161,2025-12-12 07:46:16,2025-12-12 12:46:31,29.230369976839,-81.045749294511,-24.41961,559632.5482,191978.3872,2.1096,559632.5454,559632.5516,559632.5482,0.0021,191978.3824,191978.3915,191978.3872,0.0035,2.1065,2.1123,2.1096,0.0017,0.009,0.0,0.009,0.009,0.008,0.0,0.008,0.008,0.0123,0.0001,0.0121,0.0125,0.0176,0.0002,0.0174,0.018,0.6062,0.5958,0.6271,0.9385,0.9219,0.972,1.1173,1.0976,1.1567,1.0,1.0,1.0,24,24,25,0.012,0.018,FIXED,24,1.0,1.156,0.627,0.971,0.668,1.335,0.009,0.008,6,6,0000_BASE_1,1793.85843,5023.93688,8323.42863,6.543e-05,0.00024895,0.00014709,-1.268e-05,3.25e-06,-0.00010193,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,162,2025-12-12 07:47:10,2025-12-12 12:47:25,29.230370871968,-81.045712177021,-24.309791,559632.8167,191988.3958,2.2194,559632.811,559632.8217,559632.8167,0.0042,191988.3903,191988.3985,191988.3958,0.0027,2.218,2.2212,2.2194,0.001,0.0072,0.0004,0.007,0.008,0.0062,0.0004,0.006,0.007,0.0098,0.0001,0.0097,0.0099,0.0142,0.0001,0.014,0.0144,0.6225,0.6225,0.6225,0.9745,0.9744,0.9746,1.1564,1.1562,1.1565,1.0,1.0,1.0,24,24,24,0.01,0.014,FIXED,24,1.0,1.156,0.622,0.974,0.626,1.315,0.007,0.006,6,6,0000_BASE_1,1803.74024,5025.52743,8323.72266,3.95e-05,0.00016745,9.103e-05,-3.39e-06,1.66e-06,-6.405e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BASS_12-12-2025(TDS).rw5,BASS-2025-12-12,163,2025-12-12 07:47:52,2025-12-12 12:48:04,29.230370232184,-81.045674942663,-25.782998,559632.6127,191998.4355,0.7463,559632.6002,559632.6183,559632.6127,0.006,191998.4275,191998.4435,191998.4355,0.006,0.7438,0.7501,0.7463,0.002,0.007,0.0,0.007,0.007,0.006,0.0,0.006,0.006,0.0096,0.0001,0.0095,0.0099,0.0139,0.0002,0.0138,0.0143,0.6224,0.6224,0.6225,0.9729,0.9727,0.973,1.1549,1.1548,1.155,1.0,1.0,1.0,24,24,24,0.01,0.014,FIXED,24,1.0,1.155,0.622,0.973,0.626,1.313,0.007,0.006,6,6,0000_BASE_1,1813.47532,5028.2565,8322.82817,3.787e-05,0.00016031,8.69e-05,-3.23e-06,1.56e-06,-6.131e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.6.2+2505070000","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
