source_file,job_name,point_id,datetime_local,datetime_utc,latitude_dd,longitude_dd,ellipsoidal_elev_m,northing_m,easting_m,elevation_m,nor_min,nor_max,nor_avg,nor_sd,eas_min,eas_max,eas_avg,eas_sd,elv_min,elv_max,elv_avg,elv_sd,nrms_avg,nrms_sd,nrms_min,nrms_max,erms_avg,erms_sd,erms_min,erms_max,hrms_avg,hrms_sd,hrms_min,hrms_max,vrms_avg,vrms_sd,vrms_min,vrms_max,hdop_avg,hdop_min,hdop_max,vdop_avg,vdop_min,vdop_max,pdop_avg,pdop_min,pdop_max,age_avg,age_min,age_max,sats_avg,sats_min,sats_max,fix_hrms,fix_vrms,fix_status,fix_sats,fix_age,fix_pdop,fix_hdop,fix_vdop,fix_tdop,fix_gdop,fix_nrms,fix_erms,valid_readings_xy,valid_readings_z,g1_base_point,g1_dx,g1_dy,g1_dz,g2_vx,g2_vy,g2_vz,g3_xy,g3_xz,g3_yz,base_lat,base_lon,base_elev,rover_hr_m,projection,equipment,geoid_file,rtk_method
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,167,2026-03-01 12:57:52,2026-03-01 17:58:06,29.20216880288,-81.034133206591,-23.772746,554643.3323,194029.3686,2.6995,554643.328,554643.3384,554643.3323,0.004,194029.3637,194029.3813,194029.3686,0.0063,2.6969,2.7022,2.6995,0.0021,0.006,0.0,0.006,0.006,0.006,0.0,0.006,0.006,0.0087,0.0001,0.0085,0.0089,0.0149,0.0002,0.0147,0.0152,0.8943,0.8943,0.8943,1.5959,1.5955,1.5962,1.8294,1.829,1.8296,1.0,1.0,1.0,19,19,19,0.009,0.015,FIXED,19,1.0,1.829,0.894,1.595,1.132,2.151,0.006,0.006,6,6,0000_BASE_1,4202.80341,2925.96085,3976.3092,5.012e-05,0.00020988,3.897e-05,-4.928e-05,1.125e-05,-5.24e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,168,2026-03-01 12:58:29,2026-03-01 17:58:45,29.2021688614,-81.034094766716,-24.285618,554643.3449,194039.7381,2.1866,554643.3362,554643.3517,554643.3449,0.0048,194039.7327,194039.743,194039.7381,0.0038,2.1825,2.1911,2.1866,0.0033,0.0068,0.0004,0.006,0.007,0.007,0.0,0.007,0.007,0.0095,0.0001,0.0093,0.0097,0.0163,0.0002,0.0159,0.0166,0.8946,0.8946,0.8946,1.5909,1.5905,1.5912,1.8251,1.8248,1.8254,1.1667,1.0,2.0,19,19,19,0.009,0.016,FIXED,19,1.0,1.825,0.895,1.59,1.129,2.146,0.007,0.007,6,6,0000_BASE_1,4212.9767,2928.02249,3976.0736,5.998e-05,0.00024907,4.687e-05,-5.856e-05,1.332e-05,-6.241e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,169,2026-03-01 12:59:01,2026-03-01 17:59:17,29.202169977117,-81.034058990435,-25.29621,554643.6833,194049.3893,1.1761,554643.6617,554643.6989,554643.6833,0.0129,194049.3576,194049.4062,194049.3893,0.0156,1.1734,1.1808,1.1761,0.0024,0.007,0.0,0.007,0.007,0.008,0.001,0.007,0.009,0.0104,0.0006,0.0097,0.011,0.0163,0.0006,0.0157,0.0172,0.8948,0.8948,0.8948,1.5865,1.5861,1.587,1.8214,1.8211,1.8218,1.0,1.0,1.0,19,19,19,0.011,0.016,FIXED,19,1.0,1.821,0.895,1.586,1.126,2.141,0.007,0.009,6,6,0000_BASE_1,4222.34795,2930.55865,3975.87789,7.62e-05,0.00024276,5.401e-05,-5.797e-05,1.828e-05,-6.449e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,170,2026-03-01 12:59:47,2026-03-01 18:00:02,29.20216874665,-81.034021770881,-26.138777,554643.2992,194059.4294,0.3335,554643.2853,554643.3112,554643.2992,0.0079,194059.4242,194059.4375,194059.4294,0.0049,0.3297,0.3352,0.3335,0.0018,0.008,0.0,0.008,0.008,0.008,0.0,0.008,0.008,0.0111,0.0002,0.0109,0.0115,0.0187,0.0003,0.0184,0.0193,0.895,0.895,0.895,1.5799,1.5795,1.5803,1.8158,1.8155,1.8161,1.0,1.0,1.0,19,19,19,0.011,0.018,FIXED,19,1.0,1.815,0.895,1.58,1.122,2.134,0.008,0.008,6,6,0000_BASE_1,4232.18158,2932.66099,3975.13479,8.131e-05,0.00032789,6.27e-05,-7.939e-05,1.653e-05,-8.092e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,171,2026-03-01 13:00:19,2026-03-01 18:00:35,29.202170096841,-81.033983953921,-26.633072,554643.7096,194069.6311,-0.1608,554643.7002,554643.7249,554643.7096,0.009,194069.6178,194069.6374,194069.6311,0.0065,-0.1626,-0.1589,-0.1608,0.0013,0.008,0.0,0.008,0.008,0.008,0.0,0.008,0.008,0.0112,0.0002,0.011,0.0115,0.019,0.0003,0.0187,0.0195,0.8951,0.8951,0.8952,1.5748,1.5744,1.5754,1.8115,1.8111,1.8119,1.0,1.0,1.0,19,19,19,0.012,0.02,FIXED,19,1.0,1.811,0.895,1.574,1.119,2.129,0.008,0.008,6,6,0000_BASE_1,4242.16109,2934.87306,3975.25499,8.385e-05,0.00033932,6.506e-05,-8.116e-05,1.825e-05,-8.57e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,172,2026-03-01 13:01:03,2026-03-01 18:01:17,29.202170160885,-81.033947385236,-27.151319,554643.7241,194079.4958,-0.679,554643.7167,554643.7402,554643.7241,0.0077,194079.4884,194079.501,194079.4958,0.004,-0.6879,-0.6703,-0.679,0.0063,0.009,0.0,0.009,0.009,0.009,0.0,0.009,0.009,0.0128,0.0002,0.0126,0.013,0.0217,0.0002,0.0214,0.0221,0.8953,0.8953,0.8953,1.568,1.5676,1.5684,1.8056,1.8052,1.8059,1.0,1.0,1.0,19,19,19,0.013,0.022,FIXED,19,1.0,1.805,0.895,1.568,1.114,2.121,0.009,0.009,6,6,0000_BASE_1,4251.83484,2936.86178,3975.01825,0.00011008,0.00044119,8.54e-05,-0.00010602,2.378e-05,-0.00011188,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,173,2026-03-01 13:02:52,2026-03-01 18:03:08,29.20216958342,-81.033908467028,-27.134842,554643.5409,194089.9943,-0.6625,554643.5269,554643.5543,554643.5409,0.0105,194089.9842,194089.9987,194089.9943,0.0047,-0.6703,-0.6592,-0.6625,0.0038,0.007,0.0,0.007,0.007,0.0077,0.0005,0.007,0.008,0.0105,0.0001,0.0103,0.0107,0.0175,0.0002,0.0173,0.0179,0.8954,0.8954,0.8954,1.5481,1.5477,1.5486,1.7884,1.788,1.7888,1.0,1.0,1.0,19,19,19,0.01,0.017,FIXED,19,1.0,1.788,0.895,1.548,1.101,2.1,0.007,0.008,6,6,0000_BASE_1,4262.2222,2938.39293,3974.87133,7.342e-05,0.00028635,5.725e-05,-6.96e-05,1.53e-05,-7.328e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,174,2026-03-01 13:03:20,2026-03-01 18:03:36,29.202170263734,-81.033872758874,-27.259673,554643.7453,194099.627,-0.7873,554643.729,554643.7669,554643.7453,0.0116,194099.6125,194099.6461,194099.627,0.0116,-0.8044,-0.7769,-0.7873,0.0091,0.007,0.0,0.007,0.007,0.007,0.0,0.007,0.007,0.0099,0.0001,0.0097,0.01,0.0165,0.0001,0.0163,0.0166,0.8954,0.8954,0.8954,1.5428,1.5423,1.5433,1.7838,1.7834,1.7842,1.0,1.0,1.0,19,19,19,0.01,0.016,FIXED,19,1.0,1.783,0.895,1.542,1.097,2.094,0.007,0.007,6,6,0000_BASE_1,4271.70546,2940.09867,3974.99276,6.527e-05,0.00025263,5.074e-05,-6.173e-05,1.351e-05,-6.48e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,175,2026-03-01 13:05:18,2026-03-01 18:05:34,29.202137152487,-81.034097234628,-24.336217,554633.5828,194039.0673,2.1359,554633.5754,554633.5887,554633.5828,0.0054,194039.0592,194039.0731,194039.0673,0.0052,2.1288,2.1427,2.1359,0.005,0.007,0.0,0.007,0.007,0.007,0.0,0.007,0.007,0.0097,0.0002,0.0094,0.0099,0.0159,0.0003,0.0156,0.0163,0.8951,0.8951,0.8952,1.5187,1.5182,1.5193,1.7629,1.7624,1.7634,1.0,1.0,1.0,19,19,19,0.01,0.016,FIXED,19,1.0,1.762,0.895,1.518,1.082,2.068,0.007,0.007,6,6,0000_BASE_1,4213.05542,2923.23707,3967.53816,6.286e-05,0.0002352,4.95e-05,-5.822e-05,1.207e-05,-6.095e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_03-01-2026(TDS).rw5,22 FEB 3;30 BASS FINAL,176,2026-03-01 13:05:50,2026-03-01 18:06:05,29.202136289079,-81.034057643905,-24.331652,554633.3114,194049.7471,2.1405,554633.3068,554633.318,554633.3114,0.0037,194049.7376,194049.754,194049.7471,0.0056,2.1375,2.1456,2.1405,0.0028,0.007,0.0,0.007,0.007,0.008,0.0,0.008,0.008,0.0105,0.0002,0.0102,0.0107,0.0174,0.0003,0.017,0.0177,0.895,0.895,0.8951,1.5122,1.5115,1.5128,1.7572,1.7567,1.7578,1.0,1.0,1.0,19,19,19,0.011,0.018,FIXED,19,1.0,1.757,0.895,1.512,1.077,2.061,0.007,0.008,6,6,0000_BASE_1,4223.62711,2924.76398,3967.30866,7.44e-05,0.00027834,5.802e-05,-6.893e-05,1.508e-05,-7.275e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
