source_file,job_name,point_id,datetime_local,datetime_utc,latitude_dd,longitude_dd,ellipsoidal_elev_m,northing_m,easting_m,elevation_m,nor_min,nor_max,nor_avg,nor_sd,eas_min,eas_max,eas_avg,eas_sd,elv_min,elv_max,elv_avg,elv_sd,nrms_avg,nrms_sd,nrms_min,nrms_max,erms_avg,erms_sd,erms_min,erms_max,hrms_avg,hrms_sd,hrms_min,hrms_max,vrms_avg,vrms_sd,vrms_min,vrms_max,hdop_avg,hdop_min,hdop_max,vdop_avg,vdop_min,vdop_max,pdop_avg,pdop_min,pdop_max,age_avg,age_min,age_max,sats_avg,sats_min,sats_max,fix_hrms,fix_vrms,fix_status,fix_sats,fix_age,fix_pdop,fix_hdop,fix_vdop,fix_tdop,fix_gdop,fix_nrms,fix_erms,valid_readings_xy,valid_readings_z,g1_base_point,g1_dx,g1_dy,g1_dz,g2_vx,g2_vy,g2_vz,g3_xy,g3_xz,g3_yz,base_lat,base_lon,base_elev,rover_hr_m,projection,equipment,geoid_file,rtk_method
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,112,2026-02-15 09:20:49,2026-02-15 14:21:00,29.202169050929,-81.034058743604,-24.972202,554643.3981,194049.4557,1.5001,554643.3967,554643.4007,554643.3981,0.0018,194049.4516,194049.4599,194049.4557,0.0034,1.4972,1.5035,1.5001,0.0026,0.012,0.0,0.012,0.012,0.0107,0.0005,0.01,0.011,0.0161,0.0001,0.0159,0.0162,0.0309,0.0003,0.0306,0.0313,0.7598,0.7597,0.7598,1.6883,1.6883,1.6884,1.8514,1.8514,1.8514,1.0,1.0,1.0,13,13,13,0.016,0.031,FIXED,13,1.0,1.851,0.76,1.688,1.34,2.286,0.012,0.01,3,3,0000_BASE_1,4222.47933,2930.15195,3975.78806,0.00013258,0.00065742,0.00042464,-0.00010781,7.633e-05,-0.00039004,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,113,2026-02-15 09:22:32,2026-02-15 14:22:45,29.202136478755,-81.034058554941,-24.334067,554633.3699,194049.5014,2.1381,554633.3663,554633.3719,554633.3699,0.0018,194049.4908,194049.5152,194049.5014,0.0097,2.1299,2.1434,2.1381,0.0042,0.012,0.0,0.012,0.012,0.0105,0.0005,0.01,0.011,0.0158,0.0002,0.0155,0.0161,0.0299,0.0004,0.0294,0.0306,0.7891,0.789,0.7891,1.5142,1.5135,1.515,1.7075,1.7069,1.7082,1.1667,1.0,2.0,13,13,13,0.016,0.029,FIXED,13,1.0,1.708,0.789,1.515,1.108,2.036,0.012,0.01,6,6,0000_BASE_1,4223.37955,2924.75614,3967.35839,0.00013729,0.00062304,0.00038368,-0.00012293,9.113e-05,-0.0003518,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,114,2026-02-15 09:23:53,2026-02-15 14:24:08,29.202104360717,-81.034058616378,-24.339238,554623.4816,194049.4796,2.1327,554623.4695,554623.4954,554623.4816,0.01,194049.4737,194049.4841,194049.4796,0.0036,2.1291,2.1354,2.1327,0.0021,0.009,0.0,0.009,0.009,0.007,0.0,0.007,0.007,0.0111,0.0,0.0111,0.0112,0.0225,0.0001,0.0224,0.0226,0.7871,0.7871,0.7872,1.5395,1.5385,1.5403,1.7291,1.7282,1.7298,1.0,1.0,1.0,13,13,13,0.011,0.022,FIXED,13,1.0,1.73,0.787,1.54,1.124,2.063,0.009,0.007,6,6,0000_BASE_1,4224.11534,2919.97152,3958.73539,5.451e-05,0.0003281,0.0002475,-5.665e-05,4.395e-05,-0.00021707,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,115,2026-02-15 09:25:18,2026-02-15 14:25:32,29.202071955054,-81.034058119452,-24.386481,554613.5047,194049.6084,2.0854,554613.5006,554613.5096,554613.5047,0.0033,194049.6034,194049.613,194049.6084,0.0031,2.0799,2.0891,2.0854,0.0033,0.012,0.0,0.012,0.012,0.011,0.0,0.011,0.011,0.0164,0.0001,0.0162,0.0166,0.0313,0.0002,0.031,0.0318,0.7853,0.7853,0.7854,1.5654,1.5647,1.5663,1.7514,1.7508,1.7521,1.1667,1.0,2.0,13,13,13,0.016,0.031,FIXED,13,1.0,1.752,0.785,1.566,1.141,2.091,0.012,0.011,6,6,0000_BASE_1,4225.00097,2915.20369,3950.01456,0.00014679,0.00069397,0.00040727,-0.00013744,9.658e-05,-0.0003797,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,116,2026-02-15 09:26:42,2026-02-15 14:26:58,29.202072099138,-81.034021391176,-24.799421,554613.5438,194059.5163,1.6724,554613.5249,554613.5532,554613.5438,0.0093,194059.5077,194059.5219,194059.5163,0.0049,1.6665,1.6777,1.6724,0.0042,0.0118,0.0004,0.011,0.012,0.01,0.0,0.01,0.01,0.0156,0.0002,0.0154,0.0158,0.0302,0.0003,0.0297,0.0306,0.7836,0.7836,0.7837,1.592,1.5912,1.5931,1.7744,1.7737,1.7753,1.0,1.0,1.0,13,13,13,0.015,0.03,FIXED,13,1.0,1.775,0.784,1.593,1.159,2.12,0.011,0.01,6,6,0000_BASE_1,4234.72967,2917.12031,3949.85091,0.00013536,0.0006474,0.00037386,-0.00012946,8.872e-05,-0.00035262,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,117,2026-02-15 09:27:49,2026-02-15 14:28:05,29.202104032461,-81.034021564223,-25.215531,554623.3753,194059.4747,1.2565,554623.3731,554623.3772,554623.3753,0.0015,194059.4721,194059.4776,194059.4747,0.0021,1.2524,1.2596,1.2565,0.0029,0.0102,0.0004,0.01,0.011,0.0092,0.0004,0.009,0.01,0.0138,0.0003,0.0133,0.0141,0.0268,0.0005,0.0258,0.0274,0.7824,0.7823,0.7825,1.613,1.6121,1.614,1.7928,1.792,1.7936,1.0,1.0,1.0,13,13,13,0.013,0.026,FIXED,13,1.0,1.794,0.782,1.614,1.173,2.143,0.01,0.009,6,6,0000_BASE_1,4233.87866,2922.23034,3958.21792,0.00010575,0.00051078,0.00029071,-0.00010282,6.9e-05,-0.00027688,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,118,2026-02-15 09:28:50,2026-02-15 14:29:06,29.202136382489,-81.034021807783,-25.573394,554633.3351,194059.4142,0.8988,554633.3319,554633.3398,554633.3351,0.003,194059.4067,194059.4253,194059.4142,0.0058,0.8952,0.9014,0.8988,0.0024,0.009,0.0,0.009,0.009,0.008,0.0,0.008,0.008,0.012,0.0001,0.0119,0.0122,0.0236,0.0002,0.0234,0.024,0.7813,0.7813,0.7814,1.6321,1.6312,1.6331,1.8095,1.8087,1.8104,1.0,1.0,1.0,13,13,13,0.012,0.024,FIXED,13,1.0,1.81,0.781,1.633,1.185,2.164,0.009,0.008,6,6,0000_BASE_1,4233.00697,2927.34937,3966.7253,8.235e-05,0.00039581,0.00022472,-8.11e-05,5.35e-05,-0.00021825,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,119,2026-02-15 09:29:42,2026-02-15 14:29:58,29.202168905313,-81.034021652348,-26.083131,554643.348,194059.4614,0.3892,554643.3431,554643.3526,554643.348,0.0028,194059.4324,194059.4756,194059.4614,0.0155,0.3835,0.3978,0.3892,0.0054,0.009,0.0,0.009,0.009,0.0087,0.0005,0.008,0.009,0.0126,0.0001,0.0124,0.0129,0.025,0.0003,0.0246,0.0255,0.7805,0.7804,0.7805,1.6483,1.6475,1.6494,1.8238,1.823,1.8247,1.0,1.0,1.0,16,13,19,0.013,0.025,FIXED,13,1.0,1.825,0.78,1.649,1.195,2.181,0.009,0.008,6,6,0000_BASE_1,4232.21699,2932.64168,3975.20464,9.217e-05,0.00044518,0.00024898,-9.159e-05,5.937e-05,-0.00024372,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,120,2026-02-15 09:33:37,2026-02-15 14:33:47,29.20203915723,-81.034021083421,-24.364696,554603.4018,194059.594,2.107,554603.3969,554603.4066,554603.4018,0.0037,194059.5897,194059.6005,194059.594,0.0036,2.1049,2.1085,2.107,0.0011,0.008,0.0,0.008,0.008,0.0072,0.0004,0.007,0.008,0.0107,0.0003,0.0103,0.0111,0.0221,0.0005,0.0211,0.0228,0.7773,0.7773,0.7773,1.7191,1.7183,1.7199,1.8866,1.886,1.8873,1.0,1.0,1.0,13,13,13,0.01,0.021,FIXED,13,1.0,1.887,0.777,1.72,1.24,2.258,0.008,0.007,6,6,0000_BASE_1,4235.64275,2911.8496,3941.2223,7.009e-05,0.00034696,0.00018554,-7.314e-05,4.437e-05,-0.00019081,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
BICENP_15-2-2026 (TDS).rw5,15-2-2026 BICENP 9AM,121,2026-02-15 09:34:56,2026-02-15 14:35:12,29.202039573416,-81.033984164305,-25.242302,554603.5247,194069.5533,1.2294,554603.5201,554603.5298,554603.5247,0.0034,194069.5451,194069.5576,194069.5533,0.0048,1.2272,1.2336,1.2294,0.0022,0.0078,0.0004,0.007,0.008,0.0072,0.0004,0.007,0.008,0.0106,0.0003,0.0103,0.0111,0.022,0.0005,0.0213,0.023,0.7763,0.7763,0.7764,1.7442,1.7434,1.7451,1.9092,1.9084,1.91,1.5,1.0,3.0,13,13,13,0.011,0.022,FIXED,13,1.0,1.91,0.776,1.745,1.256,2.286,0.008,0.007,6,6,0000_BASE_1,4245.353,2914.21494,3940.904,6.925e-05,0.00034794,0.0001811,-7.348e-05,4.325e-05,-0.00018911,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
