source_file,job_name,point_id,datetime_local,datetime_utc,latitude_dd,longitude_dd,ellipsoidal_elev_m,northing_m,easting_m,elevation_m,nor_min,nor_max,nor_avg,nor_sd,eas_min,eas_max,eas_avg,eas_sd,elv_min,elv_max,elv_avg,elv_sd,nrms_avg,nrms_sd,nrms_min,nrms_max,erms_avg,erms_sd,erms_min,erms_max,hrms_avg,hrms_sd,hrms_min,hrms_max,vrms_avg,vrms_sd,vrms_min,vrms_max,hdop_avg,hdop_min,hdop_max,vdop_avg,vdop_min,vdop_max,pdop_avg,pdop_min,pdop_max,age_avg,age_min,age_max,sats_avg,sats_min,sats_max,fix_hrms,fix_vrms,fix_status,fix_sats,fix_age,fix_pdop,fix_hdop,fix_vdop,fix_tdop,fix_gdop,fix_nrms,fix_erms,valid_readings_xy,valid_readings_z,g1_base_point,g1_dx,g1_dy,g1_dz,g2_vx,g2_vy,g2_vz,g3_xy,g3_xz,g3_yz,base_lat,base_lon,base_elev,rover_hr_m,projection,equipment,geoid_file,rtk_method
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,167,2026-04-19 16:44:32,2026-04-19 20:43:46,29.202169412644,-81.034132382265,-23.716135,554643.5199,194029.5911,2.7561,554643.5091,554643.5349,554643.5199,0.0077,194029.5851,194029.5989,194029.5911,0.0054,2.7489,2.7607,2.7561,0.004,0.0052,0.0004,0.005,0.006,0.006,0.0,0.006,0.006,0.0081,0.0003,0.0078,0.0086,0.016,0.0005,0.0156,0.0169,0.782,0.782,0.782,1.5074,1.5068,1.508,1.6981,1.6977,1.6987,1.0,1.0,1.0,15,15,16,0.009,0.017,FIXED,16,1.0,1.698,0.782,1.507,1.067,2.005,0.006,0.006,6,6,0000_BASE_1,4203.01646,2926.03753,3976.50059,3.869e-05,0.00022716,5.706e-05,-1.78e-05,4.91e-06,-8.257e-05,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,168,2026-04-19 16:45:07,2026-04-19 20:45:21,29.202169756616,-81.034095232451,-24.698163,554643.6205,194039.6126,1.7741,554643.6136,554643.6268,554643.6205,0.0046,194039.6065,194039.6205,194039.6126,0.0042,1.769,1.7793,1.7741,0.003,0.007,0.0,0.007,0.007,0.008,0.0,0.008,0.008,0.0109,0.0001,0.0107,0.0111,0.0215,0.0002,0.0213,0.0219,0.7822,0.7822,0.7822,1.4925,1.492,1.493,1.6851,1.6846,1.6855,1.0,1.0,1.0,15,15,16,0.011,0.022,FIXED,15,1.0,1.685,0.782,1.492,1.058,1.989,0.007,0.008,6,6,0000_BASE_1,4212.77572,2928.49164,3976.11174,7.046e-05,0.000408,0.00010319,-3.289e-05,8.84e-06,-0.00014906,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,169,2026-04-19 16:45:40,2026-04-19 20:45:56,29.202168935907,-81.034058445492,-25.586341,554643.3627,194049.5361,0.8859,554643.3184,554643.405,554643.3627,0.0278,194049.5212,194049.5449,194049.5361,0.0079,0.8836,0.8885,0.8859,0.0018,0.008,0.0,0.008,0.008,0.009,0.0,0.009,0.009,0.0121,0.0002,0.0118,0.0123,0.0239,0.0003,0.0232,0.0242,0.7823,0.7823,0.7824,1.4867,1.4862,1.4874,1.68,1.6796,1.6806,1.0,1.0,1.0,15,15,16,0.012,0.024,FIXED,15,1.0,1.68,0.782,1.486,1.055,1.983,0.008,0.009,6,6,0000_BASE_1,4222.47829,2930.67617,3975.45627,8.73e-05,0.00050217,0.00012754,-4.081e-05,1.11e-05,-0.00018404,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,170,2026-04-19 16:46:11,2026-04-19 20:46:26,29.202169504076,-81.034021294056,-26.340282,554643.5323,194059.5581,0.132,554643.5192,554643.5476,554643.5323,0.0108,194059.5531,194059.562,194059.5581,0.0031,0.129,0.1348,0.132,0.002,0.008,0.0,0.008,0.008,0.0092,0.0004,0.009,0.01,0.0122,0.0003,0.0119,0.0128,0.024,0.0005,0.0236,0.025,0.7825,0.7824,0.7825,1.4819,1.4813,1.4825,1.6758,1.6752,1.6763,1.0,1.0,1.0,15,15,16,0.013,0.025,FIXED,15,1.0,1.675,0.782,1.481,1.052,1.978,0.008,0.01,6,6,0000_BASE_1,4232.26361,2932.96738,3975.23935,8.845e-05,0.00050643,0.00012935,-4.16e-05,1.134e-05,-0.00018598,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,171,2026-04-19 16:46:36,2026-04-19 20:46:52,29.202169398875,-81.0339842669,-26.768868,554643.4947,194069.5465,-0.2966,554643.4803,554643.514,554643.4947,0.0134,194069.5314,194069.5534,194069.5465,0.0072,-0.3023,-0.2923,-0.2966,0.0037,0.0083,0.0005,0.008,0.009,0.01,0.0,0.01,0.01,0.0132,0.0001,0.013,0.0134,0.026,0.0002,0.0257,0.0263,0.7826,0.7825,0.7826,1.4772,1.4765,1.4778,1.6717,1.6711,1.6722,1.0,1.0,1.0,15,15,16,0.013,0.026,FIXED,15,1.0,1.671,0.783,1.477,1.049,1.973,0.009,0.01,6,6,0000_BASE_1,4242.07565,2934.87287,3975.00112,0.00010405,0.00059179,0.00015206,-4.925e-05,1.331e-05,-0.00021732,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,172,2026-04-19 16:47:10,2026-04-19 20:47:25,29.202169323786,-81.033947688956,-27.027385,554643.4665,194079.4138,-0.555,554643.4438,554643.5103,554643.4665,0.0216,194079.3956,194079.4444,194079.4138,0.0181,-0.5611,-0.5523,-0.555,0.0029,0.0082,0.0004,0.008,0.009,0.01,0.0,0.01,0.01,0.0129,0.0003,0.0123,0.0133,0.0253,0.0006,0.0244,0.0261,0.7827,0.7827,0.7827,1.4714,1.4706,1.4722,1.6666,1.6659,1.6673,1.0,1.0,1.0,15,15,16,0.013,0.026,FIXED,15,1.0,1.666,0.783,1.471,1.045,1.967,0.009,0.01,6,6,0000_BASE_1,4251.79031,2936.61757,3974.85429,9.932e-05,0.00056213,0.00014446,-4.714e-05,1.268e-05,-0.00020689,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,173,2026-04-19 16:47:43,2026-04-19 20:47:55,29.202168979912,-81.033910428812,-27.105168,554643.3553,194089.465,-0.6328,554643.3309,554643.3864,554643.3553,0.0168,194089.4474,194089.479,194089.465,0.0115,-0.6381,-0.6259,-0.6328,0.0043,0.008,0.0,0.008,0.008,0.0092,0.0004,0.009,0.01,0.0122,0.0001,0.0121,0.0123,0.024,0.0002,0.0238,0.0243,0.7829,0.7828,0.7829,1.4658,1.4651,1.4666,1.6618,1.6611,1.6624,1.0,1.0,1.0,15,15,16,0.012,0.024,FIXED,15,1.0,1.661,0.783,1.465,1.042,1.961,0.008,0.009,6,6,0000_BASE_1,4261.71756,2938.1952,3974.72389,8.929e-05,0.00050328,0.00012946,-4.25e-05,1.137e-05,-0.00018576,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,174,2026-04-19 16:48:12,2026-04-19 20:48:27,29.202169817077,-81.033872805044,-27.192246,554643.6078,194099.6144,-0.7199,554643.5867,554643.6223,554643.6078,0.0135,194099.595,194099.6353,194099.6144,0.0146,-0.725,-0.71,-0.7199,0.0054,0.008,0.0,0.008,0.008,0.009,0.0,0.009,0.009,0.012,0.0001,0.0118,0.0122,0.0236,0.0003,0.0232,0.024,0.783,0.783,0.783,1.4599,1.459,1.4606,1.6566,1.6559,1.6572,1.0,1.0,1.0,15,15,16,0.012,0.023,FIXED,15,1.0,1.656,0.783,1.459,1.038,1.954,0.008,0.009,6,6,0000_BASE_1,4271.71276,2939.9721,3974.90591,8.754e-05,0.00048962,0.00012677,-4.187e-05,1.124e-05,-0.00018091,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,175,2026-04-19 16:49:28,2026-04-19 20:49:44,29.202136497613,-81.033873756688,-27.12114,554633.3497,194099.3524,-0.6489,554633.3391,554633.3543,554633.3497,0.0054,194099.3465,194099.3591,194099.3524,0.0045,-0.6525,-0.644,-0.6489,0.0025,0.0073,0.0005,0.007,0.008,0.009,0.0,0.009,0.009,0.0115,0.0002,0.0112,0.0118,0.0225,0.0004,0.0219,0.0229,0.7835,0.7834,0.7835,1.4448,1.444,1.4454,1.6435,1.6429,1.6441,1.0,1.0,1.0,15,15,16,0.011,0.022,FIXED,15,1.0,1.643,0.783,1.444,1.029,1.939,0.007,0.009,6,6,0000_BASE_1,4272.24985,2934.90543,3965.99784,8.081e-05,0.00044334,0.00011662,-3.908e-05,1.061e-05,-0.00016433,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
4-19-2026 BICENTP(TDS).rw5,4-19-2026 BICENTP,176,2026-04-19 16:50:27,2026-04-19 20:50:43,29.202137313706,-81.033909460273,-27.030725,554633.606,194089.7212,-0.5585,554633.5945,554633.617,554633.606,0.0091,194089.6871,194089.744,194089.7212,0.0213,-0.5614,-0.5522,-0.5585,0.0034,0.0087,0.0005,0.008,0.009,0.01,0.0,0.01,0.01,0.0133,0.0002,0.0131,0.0136,0.0259,0.0004,0.0255,0.0264,0.7839,0.7838,0.7839,1.4328,1.4321,1.4335,1.6332,1.6326,1.6338,1.0,1.0,1.0,15,15,16,0.014,0.026,FIXED,15,1.0,1.633,0.784,1.432,1.022,1.926,0.009,0.01,6,6,0000_BASE_1,4262.72806,2933.45253,3966.26118,0.00010766,0.00058304,0.00015464,-5.246e-05,1.416e-05,-0.00021686,29.1753469711,-81.0632013205,-18.3581,2.0587,USA/NAD83(2011)/Florida (East),"Sokkia,  GRX3, SN:1468-10094, FW:5.7+2512081519","C:\Carlson Projects\Data\Geoids\ContinentalUS_NGS2018.gsb N24�00'00.0"" W130�00'00.0"" N58�00'00.0"" W060�00'00.0""","RTCM V3.0, Device: Data Collector GSM or Wifi, Network: NTRIP ORMD"
